index	segment
0	5e-05:1.6269999999999998
1	1.6269999999999998:5.63105
2	5.63105:6.9239999999999995
3	6.9239999999999995:7.09005
4	7.09005:7.382000000000001
5	7.382000000000001:7.424049999999999
6	7.424049999999999:9.134
7	9.134:9.17605
8	9.17605:9.968
9	9.968:11.72005
10	11.72005:12.51205
11	12.51205:14.097000000000001
12	14.097000000000001:14.222999999999999
13	14.222999999999999:15.18205
14	15.18205:17.017
15	17.017:17.059050000000003
16	17.059050000000003:21.396
17	21.396:29.27905
18	29.27905:29.613000000000003
19	29.613000000000003:30.489050000000002
20	30.489050000000002:30.614050000000002
21	30.614050000000002:38.83005
22	38.83005:39.414
23	39.414:39.41405
24	39.41405:39.45605
25	39.45605:39.498000000000005
26	39.498000000000005:39.873000000000005
27	39.873000000000005:39.91505
28	39.91505:41.833
29	41.833:42.20905
30	42.20905:42.251000000000005
31	42.251000000000005:42.29205
32	42.29205:42.41705
33	42.41705:42.54205
34	42.54205:43.001000000000005
35	43.001000000000005:43.168
36	43.168:45.336999999999996
37	45.336999999999996:45.37905
38	45.37905:45.711999999999996
39	45.711999999999996:47.21405
40	47.21405:47.381
41	47.381:48.42305
42	48.42305:48.715
43	48.715:54.38805000000001
44	54.38805000000001:55.347
45	55.347:75.32505
46	75.32505:75.95100000000001
47	75.95100000000001:77.16005
48	77.16005:83.5
49	83.5:83.87505
50	83.87505:87.546
51	87.546:87.58805
52	87.58805:87.713
53	87.713:87.75404999999999
54	87.75404999999999:90.132
55	90.132:90.17304999999999
56	90.17304999999999:93.26
57	93.26:93.30205000000001
58	93.30205000000001:95.762
59	95.762:95.80405
60	95.80405:97.84805
61	97.84805:100.89200000000001
62	100.89200000000001:104.31304999999999
63	104.31304999999999:105.48
64	105.48:105.52205000000001
65	105.52205000000001:107.399
66	107.399:107.44105
67	107.44105:111.486
68	111.486:111.52805
69	111.52805:114.99
70	114.99:115.03205000000001
71	115.03205000000001:118.57700000000001
72	118.57700000000001:118.61805
73	118.61805:120.287
74	120.287:120.32905
75	120.32905:123.12299999999999
76	123.12299999999999:123.16505000000001
77	123.16505000000001:123.74905
78	123.74905:125.25
79	125.25:138.22105
80	138.22105:140.015
81	140.015:143.22605
82	143.22605:145.52
83	145.52:145.56205
84	145.56205:146.27100000000002
85	146.27100000000002:148.39804999999998
86	148.39804999999998:159.326
87	159.326:159.36804999999998
88	159.36804999999998:161.49505
89	161.49505:161.536
90	161.536:163.03799999999998
91	163.03799999999998:163.08005
92	163.08005:169.21099999999998
93	169.21099999999998:169.25205
94	169.25205:174.049
95	174.049:174.09104999999997
96	174.09104999999997:178.512
